iLQGames Scalability Test Results
========================================
Test Parameters:
  Min Players: 2
  Max Players: 30
  Trials per test: 3
  Iterations per trial: 50
  Time steps: 50
  Time step size: 0.1
  Device: cuda:0

Results:
Agents   Time(s)    Time/Iter(s)    Final Loss  
--------------------------------------------------
2        1.750      0.0350          4.391       
3        2.389      0.0478          6.407       
4        3.244      0.0649          6.402       
5        4.209      0.0842          4.969       
6        5.098      0.1020          21.697      
7        6.063      0.1213          20.581      
8        7.118      0.1424          31.461      
9        8.128      0.1626          37.604      
10       9.419      0.1884          52.433      
11       10.704     0.2141          44.366      
12       12.030     0.2406          67.488      
13       11.696     0.2339          91.692      
14       12.952     0.2590          105.828     
15       13.592     0.2718          117.002     
16       14.529     0.2906          120.934     
17       15.367     0.3073          160.651     
18       15.817     0.3163          189.295     
19       17.439     0.3488          166.053     
20       18.354     0.3671          213.215     
21       19.372     0.3874          219.755     
22       20.551     0.4110          185.154     
23       21.789     0.4358          278.885     
24       23.054     0.4611          282.587     
25       24.124     0.4825          347.727     
26       24.395     0.4879          314.166     
27       26.613     0.5323          355.281     
28       27.342     0.5468          419.239     
29       28.829     0.5766          437.147     
30       28.770     0.5754          464.611     
